"SeriesAccession","Platform","MatrixFile","URL","Bytes","MD5","DownloadedAt","Status"
"GSE14","GPL11","GSE14-GPL11_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE14/matrix/GSE14-GPL11_series_matrix.txt.gz",13136826,"ad3a8dc8bea2162d9ce8b42edfecc443","2026-09-16T14:26:15","OK"
"GSE14","GPL1349","GSE14-GPL1349_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE14/matrix/GSE14-GPL1349_series_matrix.txt.gz",4339581,"4dd8666a3a09b668936f65d84ee11294","2026-09-16T14:26:16","OK"
"GSE14","GPL1485","GSE14-GPL1485_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE14/matrix/GSE14-GPL1485_series_matrix.txt.gz",51002890,"caddb44a52ffcd3c63a17a037a123afa","2026-09-16T14:26:21","OK"
"GSE14","GPL4","GSE14-GPL4_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE14/matrix/GSE14-GPL4_series_matrix.txt.gz",14741074,"0c31de136fecba5d1399616ddd9868b7","2026-09-16T14:26:22","OK"
"GSE982",,"GSE982_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE982/matrix/GSE982_series_matrix.txt.gz",3200319,"eeced30732347d50236290ba0d3587e6","2026-09-16T14:26:23","OK"
"GSE995","GPL80","GSE995-GPL80_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE995/matrix/GSE995-GPL80_series_matrix.txt.gz",554105,"bac0d70c186c0a157358d0d499989727","2026-09-16T14:26:24","OK"
"GSE995","GPL96","GSE995-GPL96_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE995/matrix/GSE995-GPL96_series_matrix.txt.gz",3680741,"6bf3132afd645016086aa62bd67b3268","2026-09-16T14:26:25","OK"
"GSE2594",,"GSE2594_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE2nnn/GSE2594/matrix/GSE2594_series_matrix.txt.gz",637222,"0947a6cadf4a40d8eb89bcb80ed3251c","2026-09-16T14:26:25","OK"
"GSE15309",,"GSE15309_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15309/matrix/GSE15309_series_matrix.txt.gz",14739170,"d74b72b45e3eaafe3d228c708a309c10","2026-09-16T14:26:27","OK"
"GSE19853",,"GSE19853_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19853/matrix/GSE19853_series_matrix.txt.gz",14164683,"9fba9d8a2bd1036b0facb2745c4ae387","2026-09-16T14:26:29","OK"
"GSE24224","GPL5082","GSE24224-GPL5082_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24224/matrix/GSE24224-GPL5082_series_matrix.txt.gz",3397,"5fbe4b0bf8b37993663bf615eba671be","2026-09-16T14:26:30","OK"
"GSE24224","GPL570","GSE24224-GPL570_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24224/matrix/GSE24224-GPL570_series_matrix.txt.gz",1515321,"9f9fcf4432780fcb36409dfe00697478","2026-09-16T14:26:30","OK"
"GSE26114",,"GSE26114_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26114/matrix/GSE26114_series_matrix.txt.gz",2935943,"d07f4839f3faf6d500a09ca7c325a757","2026-09-16T14:26:31","OK"
"GSE26921",,"GSE26921_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26921/matrix/GSE26921_series_matrix.txt.gz",1097306,"ac0697359ea12afa6913c5fd2bbc1299","2026-09-16T14:26:32","OK"
"GSE28185",,"GSE28185_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28185/matrix/GSE28185_series_matrix.txt.gz",474890,"938d0c9ab82fe98a65f30d57f1c363b7","2026-09-16T14:26:33","OK"
"GSE28818",,"GSE28818_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28818/matrix/GSE28818_series_matrix.txt.gz",306275,"7b7e0bee8a58a42c5e013b2c156981aa","2026-09-16T14:26:34","OK"
"GSE29799","GPL6244","GSE29799-GPL6244_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29799/matrix/GSE29799-GPL6244_series_matrix.txt.gz",1174717,"132cf359d13c364074215fce3e52baf4","2026-09-16T14:26:34","OK"
"GSE29799","GPL6246","GSE29799-GPL6246_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29799/matrix/GSE29799-GPL6246_series_matrix.txt.gz",4697786,"b2d49632132b35f6e1b97d4cebf6e700","2026-09-16T14:26:35","OK"
"GSE29828",,"GSE29828_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29828/matrix/GSE29828_series_matrix.txt.gz",4603872,"cad8cbe34ffbe0582d225f6936243c30","2026-09-16T14:26:36","OK"
"GSE30315",,"GSE30315_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30315/matrix/GSE30315_series_matrix.txt.gz",620192,"882da218ef2a34bf16406bbe0df07be4","2026-09-16T14:26:37","OK"
"GSE33892",,"GSE33892_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33892/matrix/GSE33892_series_matrix.txt.gz",1568277,"281e80fc5a334a6d8549c71092f2437c","2026-09-16T14:26:38","OK"
"GSE34672",,"GSE34672_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34672/matrix/GSE34672_series_matrix.txt.gz",7376737,"96800d466e454e0e14adac7fe190d63d","2026-09-16T14:26:39","OK"
"GSE34726","GPL10558","GSE34726-GPL10558_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34726/matrix/GSE34726-GPL10558_series_matrix.txt.gz",7375796,"c0db8af78aeeab329b921a5dbdefe25e","2026-09-16T14:26:41","OK"
"GSE34726","GPL10999","GSE34726-GPL10999_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34726/matrix/GSE34726-GPL10999_series_matrix.txt.gz",3315,"1a94b6843f2757b3322a4448c80fa436","2026-09-16T14:26:41","OK"
"GSE34965",,"GSE34965_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34965/matrix/GSE34965_series_matrix.txt.gz",1181507,"4cf31dfe714ba99dfa1f7e8e52a4be32","2026-09-16T14:26:42","OK"
"GSE38865","GPL10558","GSE38865-GPL10558_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38865/matrix/GSE38865-GPL10558_series_matrix.txt.gz",1913616,"b85ec65b9ab6dfb1edfe64b9adfaf91a","2026-09-16T14:26:43","OK"
"GSE38865","GPL15724","GSE38865-GPL15724_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38865/matrix/GSE38865-GPL15724_series_matrix.txt.gz",27632098,"1ae2713d6f4ed69feb71ff09cb444940","2026-09-16T14:26:45","OK"
"GSE38865","GPL6884","GSE38865-GPL6884_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38865/matrix/GSE38865-GPL6884_series_matrix.txt.gz",4955853,"6f2b5849268344ca2ee5491649cef406","2026-09-16T14:26:46","OK"
"GSE40442",,"GSE40442_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40442/matrix/GSE40442_series_matrix.txt.gz",210067583,"feea6a5f5892a6aadf97e35ef391467c","2026-09-16T14:27:05","OK"
"GSE40871","GPL13534","GSE40871-GPL13534_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40871/matrix/GSE40871-GPL13534_series_matrix.txt.gz",120372114,"55ea79cf3702e5bff6489b2b4313ac1a","2026-09-16T14:27:16","OK"
"GSE40871","GPL5188","GSE40871-GPL5188_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40871/matrix/GSE40871-GPL5188_series_matrix.txt.gz",210067577,"f0f52c458d37125c5c0cf9f66970bd13","2026-09-16T14:27:35","OK"
"GSE42259",,"GSE42259_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42259/matrix/GSE42259_series_matrix.txt.gz",1714954,"3a99b067ca8dce430c6f184947827b1c","2026-09-16T14:27:36","OK"
"GSE42261","GPL1261","GSE42261-GPL1261_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42261/matrix/GSE42261-GPL1261_series_matrix.txt.gz",1424147,"443395b5c8176144d5955254b8b29367","2026-09-16T14:27:37","OK"
"GSE42261","GPL570","GSE42261-GPL570_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42261/matrix/GSE42261-GPL570_series_matrix.txt.gz",1714872,"be54abb0b6d5a5f878c279a457a94d86","2026-09-16T14:27:37","OK"
"GSE43022","GPL11154","GSE43022-GPL11154_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43022/matrix/GSE43022-GPL11154_series_matrix.txt.gz",2335,"d42d4a50a8cc6991051608f5dd155990","2026-09-16T14:27:38","OK"
"GSE43022","GPL6246","GSE43022-GPL6246_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43022/matrix/GSE43022-GPL6246_series_matrix.txt.gz",4212816,"5a1f7b41cfc927654664e16b5347a8dc","2026-09-16T14:27:38","OK"
"GSE43258",,"GSE43258_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43258/matrix/GSE43258_series_matrix.txt.gz",1888475,"37a75001399c95c813f879e462a5e63c","2026-09-16T14:27:39","OK"
"GSE45249",,"GSE45249_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45249/matrix/GSE45249_series_matrix.txt.gz",3390168,"bade2b61c6a053e9769cf4459d8fb14c","2026-09-16T14:27:40","OK"
"GSE46302",,"GSE46302_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46302/matrix/GSE46302_series_matrix.txt.gz",2600725,"5005531c35d3c4544484da34b86c839f","2026-09-16T14:27:41","OK"
"GSE46819",,"GSE46819_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46819/matrix/GSE46819_series_matrix.txt.gz",7417775,"e5c14a37d38d84ac8a2596deda516cb8","2026-09-16T14:27:43","OK"
"GSE48843",,"GSE48843_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48843/matrix/GSE48843_series_matrix.txt.gz",3363,"2c58821f253deaf5715a4e45161df6c8","2026-09-16T14:27:43","OK"
"GSE50928",,"GSE50928_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50928/matrix/GSE50928_series_matrix.txt.gz",2830808,"a52a285603e505bfd5184ab953fd5a1f","2026-09-16T14:27:44","OK"
"GSE51082","GPL96","GSE51082-GPL96_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51082/matrix/GSE51082-GPL96_series_matrix.txt.gz",8599174,"0b4c75f2e59e2c6ef13c28e6b38aafcb","2026-09-16T14:27:46","OK"
"GSE51082","GPL97","GSE51082-GPL97_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51082/matrix/GSE51082-GPL97_series_matrix.txt.gz",8661151,"4bc81f50cce5e73bec23727837f48d51","2026-09-16T14:27:47","OK"
"GSE54218",,"GSE54218_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54218/matrix/GSE54218_series_matrix.txt.gz",4221181,"71c3f04263385012ae315744e7281f42","2026-09-16T14:27:48","OK"
"GSE54869",,"GSE54869_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54869/matrix/GSE54869_series_matrix.txt.gz",1138119,"bc7dfd51c56949a2da653ffabe9bf07a","2026-09-16T14:27:49","OK"
"GSE54871",,"GSE54871_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54871/matrix/GSE54871_series_matrix.txt.gz",1837666,"4c9eb86678c4cb87a5d8f39c171f50d8","2026-09-16T14:27:50","OK"
"GSE54873",,"GSE54873_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54873/matrix/GSE54873_series_matrix.txt.gz",1915944,"e3ea7825f810c25cf81192e926c75eb3","2026-09-16T14:27:50","OK"
"GSE55154","GPL6104","GSE55154-GPL6104_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55154/matrix/GSE55154-GPL6104_series_matrix.txt.gz",2936706,"e7f40c7d204a72708e0a61d505984303","2026-09-16T14:27:51","OK"
"GSE55154","GPL6883","GSE55154-GPL6883_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55154/matrix/GSE55154-GPL6883_series_matrix.txt.gz",1915980,"fa053e51acf3bc86127e5318e0542f47","2026-09-16T14:27:52","OK"
"GSE55242",,"GSE55242_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55242/matrix/GSE55242_series_matrix.txt.gz",2018419,"46d45368168f96161f4ebceee1ca1de0","2026-09-16T14:27:53","OK"
"GSE55772",,"GSE55772_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55772/matrix/GSE55772_series_matrix.txt.gz",961881,"ee676797d64a78bd769d52fae48cca86","2026-09-16T14:27:54","OK"
"GSE61022","GPL1261","GSE61022-GPL1261_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61022/matrix/GSE61022-GPL1261_series_matrix.txt.gz",2242686,"42648f5c686dd8d7084ddec7cbed0236","2026-09-16T14:27:55","OK"
"GSE61022","GPL13112","GSE61022-GPL13112_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61022/matrix/GSE61022-GPL13112_series_matrix.txt.gz",3940,"b6c2ef5d283501a6d28097a70d70a0b1","2026-09-16T14:27:55","OK"
"GSE61022","GPL14761","GSE61022-GPL14761_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61022/matrix/GSE61022-GPL14761_series_matrix.txt.gz",2165,"09054f07303162f024fd3d726232ed16","2026-09-16T14:27:55","OK"
"GSE62171","GPL11154","GSE62171-GPL11154_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62171/matrix/GSE62171-GPL11154_series_matrix.txt.gz",5198,"ae1845c66f65323a24c4daaff9fadc66","2026-09-16T14:27:55","OK"
"GSE62171","GPL16791","GSE62171-GPL16791_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62171/matrix/GSE62171-GPL16791_series_matrix.txt.gz",4754,"694c8d8a79ed547f5cb3e5e531188f9d","2026-09-16T14:27:56","OK"
"GSE62533",,"GSE62533_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62533/matrix/GSE62533_series_matrix.txt.gz",3828379,"cb87e989bf4c887ccd21c602ce9878ab","2026-09-16T14:27:57","OK"
"GSE63217",,"GSE63217_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63217/matrix/GSE63217_series_matrix.txt.gz",2650,"d91de13375907b91039b9aaf889fefa4","2026-09-16T14:27:57","OK"
"GSE63222","GPL16558","GSE63222-GPL16558_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63222/matrix/GSE63222-GPL16558_series_matrix.txt.gz",2612,"ef22a141d8270f01815c465da856820e","2026-09-16T14:27:58","OK"
"GSE63222","GPL16791","GSE63222-GPL16791_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63222/matrix/GSE63222-GPL16791_series_matrix.txt.gz",2835,"e8bbc58abc068c5be3bf57e39f840796","2026-09-16T14:27:58","OK"
